exp	round_num	agentid	currname	saidbefore	heardbefore	denovo	saidsofar	heardsofar
CB2015-55	6	290	lisa	0	0	1	['na', 'na', 'na', 'na', 'sophia', 'na']	['na', 'na', 'sandra', 'no match', 'no response', 'julie']
CB2015-55	7	290	sarah	0	0	1	['na', 'na', 'na', 'na', 'sophia', 'na', 'lisa']	['na', 'na', 'sandra', 'no match', 'no response', 'julie', 'julia']
CB2015-55	8	290	lisa	1	1	0	['na', 'na', 'na', 'na', 'sophia', 'na', 'lisa', 'sarah']	['na', 'na', 'sandra', 'no match', 'no response', 'julie', 'julia', 'lisa']
CB2015-55	9	290	mary	0	1	0	['na', 'na', 'na', 'na', 'sophia', 'na', 'lisa', 'sarah', 'lisa']	['na', 'na', 'sandra', 'no match', 'no response', 'julie', 'julia', 'lisa', 'mary']
CB2015-55	12	290	lisa	1	1	0	['na', 'na', 'na', 'na', 'sophia', 'na', 'lisa', 'sarah', 'lisa', 'mary', 'mary', 'mary']	['na', 'na', 'sandra', 'no match', 'no response', 'julie', 'julia', 'lisa', 'mary', 'na', 'jane', 'lisa']
CB2015-55	13	290	mary	1	1	0	['na', 'na', 'na', 'na', 'sophia', 'na', 'lisa', 'sarah', 'lisa', 'mary', 'mary', 'mary', 'lisa']	['na', 'na', 'sandra', 'no match', 'no response', 'julie', 'julia', 'lisa', 'mary', 'na', 'jane', 'lisa', 'mary']
CB2015-55	14	290	lisa	1	1	0	['na', 'na', 'na', 'na', 'sophia', 'na', 'lisa', 'sarah', 'lisa', 'mary', 'mary', 'mary', 'lisa', 'mary']	['na', 'na', 'sandra', 'no match', 'no response', 'julie', 'julia', 'lisa', 'mary', 'na', 'jane', 'lisa', 'mary', 'lisa']
CB2015-55	15	290	mary	1	1	0	['na', 'na', 'na', 'na', 'sophia', 'na', 'lisa', 'sarah', 'lisa', 'mary', 'mary', 'mary', 'lisa', 'mary', 'lisa']	['na', 'na', 'sandra', 'no match', 'no response', 'julie', 'julia', 'lisa', 'mary', 'na', 'jane', 'lisa', 'mary', 'lisa', 'mary']
CB2015-55	16	290	sophia	1	0	0	['na', 'na', 'na', 'na', 'sophia', 'na', 'lisa', 'sarah', 'lisa', 'mary', 'mary', 'mary', 'lisa', 'mary', 'lisa', 'mary']	['na', 'na', 'sandra', 'no match', 'no response', 'julie', 'julia', 'lisa', 'mary', 'na', 'jane', 'lisa', 'mary', 'lisa', 'mary', 'lisa']
CB2015-55	17	290	lisa	1	1	0	['na', 'na', 'na', 'na', 'sophia', 'na', 'lisa', 'sarah', 'lisa', 'mary', 'mary', 'mary', 'lisa', 'mary', 'lisa', 'mary', 'sophia']	['na', 'na', 'sandra', 'no match', 'no response', 'julie', 'julia', 'lisa', 'mary', 'na', 'jane', 'lisa', 'mary', 'lisa', 'mary', 'lisa', 'mary']
