NETWORK_SIZE,CONFED_PROP,PRIOR,UPDATE_SCALAR,FIRST_TIPPED
24,0.4,0.6,0.47,2
24,0.4,0.6,0.52,2
24,0.4,0.6,0.57,1
24,0.4,0.65,0.02,1000
24,0.4,0.65,0.07,32
24,0.4,0.65,0.12,15
24,0.4,0.65,0.17,7
24,0.4,0.65,0.22,8
24,0.4,0.65,0.27,5
24,0.4,0.65,0.32,4
24,0.4,0.65,0.37,1
24,0.4,0.65,0.42,3
24,0.4,0.65,0.47,3
24,0.4,0.65,0.52,2
24,0.4,0.65,0.57,1
24,0.4,0.7,0.02,1000
24,0.4,0.7,0.07,31
24,0.4,0.7,0.12,16
24,0.4,0.7,0.17,7
24,0.4,0.7,0.22,8
24,0.4,0.7,0.27,5
24,0.4,0.7,0.32,7
24,0.4,0.7,0.37,5
24,0.4,0.7,0.42,4
24,0.4,0.7,0.47,1
24,0.4,0.7,0.52,3
24,0.4,0.7,0.57,4
24,0.4,0.75,0.02,1000
24,0.4,0.75,0.07,35
24,0.4,0.75,0.12,21
24,0.4,0.75,0.17,14
24,0.4,0.75,0.22,10
24,0.4,0.75,0.27,7
24,0.4,0.75,0.32,3
24,0.4,0.75,0.37,5
24,0.4,0.75,0.42,5
24,0.4,0.75,0.47,4
24,0.4,0.75,0.52,1
24,0.4,0.75,0.57,4
24,0.4,0.8,0.02,1000
24,0.4,0.8,0.07,54
24,0.4,0.8,0.12,24
24,0.4,0.8,0.17,16
24,0.4,0.8,0.22,12
24,0.4,0.8,0.27,7
24,0.4,0.8,0.32,9
24,0.4,0.8,0.37,4
24,0.4,0.8,0.42,7
24,0.4,0.8,0.47,3
24,0.4,0.8,0.52,3
24,0.4,0.8,0.57,4
24,0.4,0.85,0.02,1000
24,0.4,0.85,0.07,48
24,0.4,0.85,0.12,24
24,0.4,0.85,0.17,17
24,0.4,0.85,0.22,10
24,0.4,0.85,0.27,10
24,0.4,0.85,0.32,11
24,0.4,0.85,0.37,8
24,0.4,0.85,0.42,8
24,0.4,0.85,0.47,6
24,0.4,0.85,0.52,8
24,0.4,0.85,0.57,3
24,0.4,0.9,0.02,1000
24,0.4,0.9,0.07,48
24,0.4,0.9,0.12,23
